iter	Passed	Remaining
0	1	1388
1	1	831
2	1	647
3	2	560
4	2	502
5	2	468
6	3	433
7	3	412
8	3	394
9	3	379
10	4	378
11	4	369
12	4	364
13	5	353
14	5	345
15	5	338
16	5	332
17	6	333
18	6	328
19	6	322
20	6	318
21	7	314
22	7	312
23	7	310
24	7	308
25	8	306
26	8	302
27	8	300
28	8	300
29	9	298
30	9	298
31	10	303
32	10	301
33	10	299
34	10	298
35	11	296
36	11	295
37	11	294
38	11	292
39	12	290
40	12	288
41	12	289
42	12	288
43	13	286
44	13	284
45	13	283
46	13	282
47	14	280
48	14	279
49	14	279
50	14	278
51	15	277
52	15	276
53	15	275
54	16	275
55	16	275
56	16	274
57	16	273
58	17	272
59	17	271
60	17	271
61	17	270
62	18	269
63	18	268
64	18	268
65	18	267
66	19	267
67	19	266
68	19	265
69	19	264
70	20	265
71	20	265
72	20	265
73	21	265
74	21	264
75	21	264
76	22	264
77	22	263
78	22	262
79	22	263
80	23	263
81	23	264
82	23	262
83	23	261
84	24	260
85	24	259
86	24	259
87	24	258
88	25	257
89	25	257
90	25	256
91	25	256
92	26	256
93	26	255
94	26	255
95	27	255
96	27	254
97	27	254
98	27	253
99	28	254
100	28	253
101	28	253
102	29	252
103	29	252
104	29	253
105	30	253
106	30	253
107	30	253
108	30	252
109	31	252
110	31	251
111	31	251
112	32	251
113	32	250
114	32	250
115	32	249
116	32	248
117	33	248
118	33	247
119	33	247
120	33	246
121	34	245
122	34	244
123	34	244
124	34	243
125	35	242
126	35	241
127	35	241
128	35	241
129	36	240
130	36	240
131	36	239
132	36	239
133	36	238
134	37	238
135	37	238
136	37	237
137	37	237
138	38	236
139	38	236
140	38	235
141	38	234
142	39	234
143	39	233
144	39	233
145	39	232
146	40	232
147	40	232
148	40	231
149	40	231
150	41	230
151	41	230
152	41	230
153	41	229
154	42	230
155	42	229
156	42	229
157	42	228
158	43	228
159	43	227
160	43	227
161	43	226
162	44	226
163	44	226
164	44	226
165	45	226
166	45	226
167	45	226
168	45	225
169	46	225
170	46	225
171	46	225
172	47	225
173	47	225
174	47	225
175	48	225
176	48	224
177	48	224
178	48	224
179	49	224
180	49	223
181	49	224
182	50	223
183	50	223
184	50	223
185	50	222
186	51	222
187	51	222
188	51	221
189	51	221
190	52	220
191	52	220
192	52	220
193	53	220
194	53	219
195	53	219
196	53	219
197	54	218
198	54	218
199	54	217
200	54	217
201	55	217
202	55	217
203	55	217
204	55	216
205	56	216
206	56	216
207	56	215
208	56	215
209	57	214
210	57	214
211	57	214
212	57	214
213	58	213
214	58	213
215	58	213
216	58	212
217	59	212
218	59	211
219	59	211
220	59	211
221	60	210
222	60	210
223	60	210
224	60	209
225	61	209
226	61	209
227	61	208
228	61	208
229	62	208
230	62	207
231	62	207
232	62	207
233	63	207
234	63	207
235	63	207
236	64	206
237	64	206
238	64	205
239	64	205
240	65	205
241	65	204
242	65	204
243	65	204
244	66	203
245	66	203
246	66	203
247	66	202
248	67	202
249	67	202
250	67	201
251	67	201
252	68	201
253	68	202
254	69	202
255	69	202
256	69	201
257	70	201
258	70	201
259	70	200
260	70	200
261	71	200
262	71	200
263	71	199
264	71	199
265	72	199
266	72	198
267	72	198
268	72	198
269	73	197
270	73	197
271	73	197
272	73	197
273	74	196
274	74	196
275	74	196
276	75	196
277	75	195
278	75	195
279	75	195
280	76	194
281	76	194
282	76	194
283	76	194
284	77	194
